"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn10.876",7744,"Mannan endo-1,4-beta-mannosidase 2 [0.760] | Mannan endo-1,4-beta-mannosidase 1 [0.160] | Mannan endo-1,4-beta-mannosidase 6 [0.040] | Mannan endo-1,4-beta-mannosidase 7 [0.040]","Unkown protein(s) / No TAIR description(s)","Cellulase (PF00150) [1.000]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]","1"
"Pn10.877",4175,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","Frigida (PF07899) [0.029]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn10.885",7246,"Rieske (2Fe-2S) domain-containing protein [1.000]","Rieske (2Fe-2S) domain-containing protein","Rieske_2 (PF13806) [1.000] | Chloroa_b-bind (PF00504) [0.038]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn10.899",42,"Ribonuclease H-like superfamily protein [0.173] | Polynucleotidyl transferase, ribonuclease H-like superfamily protein [0.078] | DNAse I-like superfamily protein [0.071] | RNA-directed DNA polymerase (reverse transcriptase)-related family protein chrM:90883-91347 REVERSE [0.024] | LINE-1 retrotransposable element ORF2 protein [0.015] | zinc ion binding;nucleic acid binding [0.012] | RNA-directed DNA polymerase (reverse transcriptase)-related family protein [0.012] | Transposon TX1 uncharacterized 149 kDa protein [0.012] | Ubiquitin-like domain-containing CTD phosphatase [0.010] | RNA-directed DNA polymerase (reverse transcriptase) chrM:310514-310882 FORWARD [0.007] | glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein [0.007] | PHD finger protein [0.007] | tapetum determinant 1 [0.007] | BEST Arabidopsis thaliana protein match is: Ribonuclease H-like superfamily protein . [0.005] | Beta-1,3-N-Acetylglucosaminyltransferase family protein [0.005] | T-complex protein 1 subunit gamma [0.005] | Aminotransferase-like, plant mobile domain family protein [0.002] | Pentatricopeptide repeat (PPR) superfamily protein [0.002] | LINE-1 reverse transcriptase homolog [0.002] | Ubiquitin-associated/translation elongation factor EF1B protein [0.002] | Protein kinase superfamily protein [0.002] | nucleic acid binding;zinc ion binding [0.002] | Pentatricopeptide repeat (PPR-like) superfamily protein [0.002] | RNA binding;RNA-directed DNA polymerases [0.002] | ARM repeat superfamily protein [0.002] | Cysteine proteinase inhibitor 5 [0.002] | heat shock protein 90.1 [0.002] | NAC domain containing protein 32 [0.002]","RNA-directed DNA polymerase (reverse transcriptase) | PHD finger protein","RVT_3 (PF13456) [0.409] | zf-RVT (PF13966) [0.158] | Exo_endo_phos (PF03372) [0.080] | zf-CCHC_4 (PF14392) [0.056] | DUF4283 (PF14111) [0.051] | RVT_1 (PF00078) [0.041] | ubiquitin (PF00240) [0.005] | PPR_2 (PF13041) [0.005] | RNase_H (PF00075) [0.005] | Cpn60_TCP1 (PF00118) [0.005] | PMEI (PF04043) [0.005] | Cystatin (PF00031) [0.002] | Gamma-thionin (PF00304) [0.002] | NAM (PF02365) [0.002] | p450 (PF00067) [0.002] | FBD (PF08387) [0.002] | FBA_1 (PF07734) [0.002] | PMD (PF10536) [0.002]","RNA binding (GO:0003723) [0.041] | RNA-directed DNA polymerase activity (GO:0003964) [0.041] | protein binding (GO:0005515) [0.005] | nucleic acid binding (GO:0003676) [0.005] | pectinesterase activity (GO:0030599) [0.005] | ATP binding (GO:0005524) [0.005] | enzyme inhibitor activity (GO:0004857) [0.005] | RNA-DNA hybrid ribonuclease activity (GO:0004523) [0.005] | iron ion binding (GO:0005506) [0.002] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [0.002] | cysteine-type endopeptidase inhibitor activity (GO:0004869) [0.002] | heme binding (GO:0020037) [0.002] | DNA binding (GO:0003677) [0.002]","RNA-dependent DNA replication (GO:0006278) [0.041] | cellular protein metabolic process (GO:0044267) [0.005] | regulation of transcription, DNA-templated (GO:0006355) [0.002] | defense response (GO:0006952) [0.002] | oxidation-reduction process (GO:0055114) [0.002]","4"
"Pn10.915",13130,"Albumin-2 [1.000]","Unkown protein(s) / No TAIR description(s)","Hemopexin (PF00045) [0.375]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn10.924",9053,"PsbP domain-containing protein 6, chloroplastic [1.000]","Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein","PsbP (PF01789) [1.000]","calcium ion binding (GO:0005509) [1.000]","photosynthesis (GO:0015979) [1.000]","4"
"Pn10.943",1770,"Calcium-binding EF-hand family protein [1.000]","Calcium-binding EF-hand family protein","EF-hand_6 (PF13405) [0.789] | EF-hand_5 (PF13202) [0.439] | EF-hand_1 (PF00036) [0.298] | EF-hand_7 (PF13499) [0.105] | BAG (PF02179) [0.018]","calcium ion binding (GO:0005509) [1.000] | chaperone binding (GO:0051087) [0.018]","NULL / Representative annotation below 0.1%","2"
"Pn11.1002",432,"ADP/ATP carrier 3 [0.407] | ADP/ATP carrier 2 [0.250] | Mitotic checkpoint serine/threonine-protein kinase BUB1 [0.204] | ADP/ATP carrier 1 [0.111] | Checkpoint serine/threonine-protein kinase BUB1 [0.019] | Serine/threonine-protein kinase ppk21 [0.009]","ADP/ATP carrier 2 | ADP/ATP carrier 1 | ATP binding;protein kinases;protein serine/threonine kinases | ADP/ATP carrier 3","Mito_carr (PF00153) [0.769] | Pkinase (PF00069) [0.222] | Mad3_BUB1_I (PF08311) [0.167]","ATP binding (GO:0005524) [0.222] | protein kinase activity (GO:0004672) [0.222]","protein phosphorylation (GO:0006468) [0.222]","2"
"Pn11.1046",1273,"soluble N-ethylmaleimide-sensitive factor adaptor protein 33 [0.424] | Synaptosomal-associated protein 25 [0.348] | Synaptosomal-associated protein 25-A [0.076] | Synaptosomal-associated protein 23 [0.061] | soluble N-ethylmaleimide-sensitive factor adaptor protein 30 [0.030] | Synaptosomal-associated protein 25-B [0.030] | synaptosomal-associated protein SNAP25-like 29 [0.030]","soluble N-ethylmaleimide-sensitive factor adaptor protein 30 | soluble N-ethylmaleimide-sensitive factor adaptor protein 33","SNARE (PF05739) [0.894] | V-SNARE_C (PF12352) [0.242] | SNAP-25 (PF00835) [0.045]","protein binding (GO:0005515) [0.894]","NULL / Representative annotation below 0.1%","2"
"Pn11.1080",4528,"phytochrome interacting factor 3 [0.794] | basic helix-loop-helix (bHLH) DNA-binding superfamily protein [0.059] | phytochrome interacting factor 3-like 1 [0.029] | Transcription factor ALC [0.029]","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","HLH (PF00010) [0.824]","protein dimerization activity (GO:0046983) [0.824]","NULL / Representative annotation below 0.1%","1"
"Pn11.1082",1169,"B12D protein [1.000]","B12D protein","B12D (PF06522) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn11.1083",348,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF3511)","DUF3511 (PF12023) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn11.1085",40723,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn11.1108",3643,"alpha/beta-Hydrolases superfamily protein [1.000]","alpha/beta-Hydrolases superfamily protein","Abhydrolase_6 (PF12697) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn11.1160",9778,"KAT8 regulatory NSL complex subunit 3 [0.909] | alpha/beta-Hydrolases superfamily protein [0.045] | Testis-expressed sequence 30 protein [0.045]","alpha/beta-Hydrolases superfamily protein","Abhydrolase_5 (PF12695) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn11.1179",3168,"Malate dehydrogenase, cytoplasmic [0.902] | Malate dehydrogenase, cytoplasmic 2 [0.049] | Malate dehydrogenase, cytoplasmic 1 [0.049]","Lactate/malate dehydrogenase family protein","Ldh_1_N (PF00056) [1.000] | Ldh_1_C (PF02866) [1.000]","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","5"
"Pn11.1192",2509,"tolB protein-related [0.957] | LOCATED IN: cell wall, plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; [0.043]","DPP6 N-terminal domain-like protein | tolB protein-related","PD40 (PF07676) [0.957] | DPPIV_N (PF00930) [0.149] | PBD (PF00786) [0.021]","NULL / Representative annotation below 0.1%","proteolysis (GO:0006508) [0.149]","2"
"Pn11.1239",2212,"AP2/B3 transcription factor family protein [0.922] | AP2/B3-like transcriptional factor family protein [0.078]","AP2/B3-like transcriptional factor family protein","B3 (PF02362) [1.000] | MatK_N (PF01824) [0.020]","DNA binding (GO:0003677) [1.000]","NULL / Representative annotation below 0.1%","4"
"Pn11.1241",8456,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn11.1264",3589,"Vacuolar iron transporter (VIT) family protein [0.684] | vacuolar iron transporter (VIT) family protein [0.289]","vacuolar iron transporter (VIT) family protein | Vacuolar iron transporter (VIT) family protein","VIT1 (PF01988) [0.868]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn11.1291",5472,"HEAT repeat-containing protein 6 [0.567] | ARM repeat superfamily protein [0.433]","ARM repeat superfamily protein","DUF4042 (PF13251) [0.700] | HEAT (PF02985) [0.067] | HEAT_EZ (PF13513) [0.067] | HEAT_2 (PF13646) [0.033]","protein binding (GO:0005515) [0.067]","NULL / Representative annotation below 0.1%","3"
"Pn11.1295",3528,"BURP domain-containing protein [1.000]","BURP domain-containing protein","BURP (PF03181) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn11.1298",2056,"Kelch domain-containing protein 4 [0.245] | Kelch repeat-containing protein 3 [0.151] | Galactose oxidase/kelch repeat superfamily protein [0.132]","Galactose oxidase/kelch repeat superfamily protein","Kelch_3 (PF13415) [0.453] | DUF4110 (PF13422) [0.415] | Kelch_4 (PF13418) [0.170] | Kelch_2 (PF07646) [0.094] | Kelch_5 (PF13854) [0.094] | Kelch_6 (PF13964) [0.019]","protein binding (GO:0005515) [0.094]","NULL / Representative annotation below 0.1%","3"
"Pn11.1326",353,"Cytochrome P450 superfamily protein [0.437] | cytochrome P450, family 87, subfamily A, polypeptide 6 [0.185] | cytochrome P450, family 89, subfamily A, polypeptide 5 [0.092] | LOCATED IN: mitochondrion, chloroplast thylakoid membrane, chloroplast, plastid, chloroplast envelope; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; [0.017] | cytochrome P450, family 89, subfamily A, polypeptide 3 [0.008]","cytochrome P450, family 87, subfamily A, polypeptide 6 | cytochrome P450, family 87, subfamily A, polypeptide 7 | cytochrome P450, family 89, subfamily A, polypeptide 3 | cytochrome P450, family 89, subfamily A, polypeptide 5 | Cytochrome P450 superfamily protein | cytochrome P450, family 89, subfamily A, polypeptide 2","p450 (PF00067) [0.723] | Abhydrolase_3 (PF07859) [0.008]","iron ion binding (GO:0005506) [0.723] | heme binding (GO:0020037) [0.723] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [0.723] | hydrolase activity (GO:0016787) [0.008]","oxidation-reduction process (GO:0055114) [0.723] | metabolic process (GO:0008152) [0.008]","5"
"Pn11.1327",353,"Cytochrome P450 superfamily protein [0.437] | cytochrome P450, family 87, subfamily A, polypeptide 6 [0.185] | cytochrome P450, family 89, subfamily A, polypeptide 5 [0.092] | LOCATED IN: mitochondrion, chloroplast thylakoid membrane, chloroplast, plastid, chloroplast envelope; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; [0.017] | cytochrome P450, family 89, subfamily A, polypeptide 3 [0.008]","cytochrome P450, family 87, subfamily A, polypeptide 6 | cytochrome P450, family 87, subfamily A, polypeptide 7 | cytochrome P450, family 89, subfamily A, polypeptide 3 | cytochrome P450, family 89, subfamily A, polypeptide 5 | Cytochrome P450 superfamily protein | cytochrome P450, family 89, subfamily A, polypeptide 2","p450 (PF00067) [0.723] | Abhydrolase_3 (PF07859) [0.008]","iron ion binding (GO:0005506) [0.723] | heme binding (GO:0020037) [0.723] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [0.723] | hydrolase activity (GO:0016787) [0.008]","oxidation-reduction process (GO:0055114) [0.723] | metabolic process (GO:0008152) [0.008]","2"
"Pn11.1332",61,"K-box region and MADS-box transcription factor family protein [0.220] | MADS-box transcription factor 1 [0.197] | MADS-box transcription factor 3 [0.152] | MADS-box transcription factor 6 [0.110] | MADS-box transcription factor 21 [0.065] | MADS-box transcription factor 29 [0.065] | MADS-box transcription factor 8 [0.045] | MADS-box transcription factor 13 [0.032] | MADS-box transcription factor 58 [0.032] | MADS-box transcription factor 17 [0.023] | MADS-box transcription factor 5 [0.023] | MADS-box transcription factor 7 [0.016] | MADS-box transcription factor 34 [0.010] | Agamous-like MADS-box protein AGL6 [0.006] | MADS-box transcription factor 27 [0.003]","K-box region and MADS-box transcription factor family protein  | AGAMOUS-like 8 | AGAMOUS-like 13 | AGAMOUS-like 6","K-box (PF01486) [0.990] | SRF-TF (PF00319) [0.955] | SHMT (PF00464) [0.003] | TIR (PF01582) [0.003]","sequence-specific DNA binding transcription factor activity (GO:0003700) [0.990] | DNA binding (GO:0003677) [0.955] | protein dimerization activity (GO:0046983) [0.955] | protein binding (GO:0005515) [0.003] | glycine hydroxymethyltransferase activity (GO:0004372) [0.003]","regulation of transcription, DNA-templated (GO:0006355) [0.990] | L-serine metabolic process (GO:0006563) [0.003] | signal transduction (GO:0007165) [0.003] | glycine metabolic process (GO:0006544) [0.003]","1"
"Pn11.1339",4009,"DHHC-type zinc finger family protein [1.000]","DHHC-type zinc finger family protein","zf-DHHC (PF01529) [1.000]","zinc ion binding (GO:0008270) [1.000]","NULL / Representative annotation below 0.1%","6"
"Pn11.1377",129,"UDP-Glycosyltransferase superfamily protein [1.000]","UDP-Glycosyltransferase superfamily protein | UDP-glycosyltransferase 73B4 | UDP-glucosyl transferase 73B5 | UDP-glucosyl transferase 73C2 | UDP-glucosyl transferase 73B1 | UDP-glucosyl transferase 73B3 | UDP-glucosyl transferase 73C7 | UDP-glucosyltransferase 73B2 | UDP-glucosyl transferase 73D1 | don-glucosyltransferase 1 | UDP-glucosyl transferase 73C1 | UDP-glucosyl transferase 73C6","UDPGT (PF00201) [0.971] | F-box (PF00646) [0.005] | zf-CCHC (PF00098) [0.005]","transferase activity, transferring hexosyl groups (GO:0016758) [0.971] | nucleic acid binding (GO:0003676) [0.005] | protein binding (GO:0005515) [0.005] | zinc ion binding (GO:0008270) [0.005]","metabolic process (GO:0008152) [0.971]","2"
"Pn11.1397",1731,"serine hydroxymethyltransferase 2 [1.000]","serine hydroxymethyltransferase 2 | serine transhydroxymethyltransferase 1","SHMT (PF00464) [1.000] | RVT_3 (PF13456) [0.018]","glycine hydroxymethyltransferase activity (GO:0004372) [1.000]","L-serine metabolic process (GO:0006563) [1.000] | glycine metabolic process (GO:0006544) [1.000]","3"
"Pn11.1414",129,"UDP-Glycosyltransferase superfamily protein [1.000]","UDP-Glycosyltransferase superfamily protein | UDP-glycosyltransferase 73B4 | UDP-glucosyl transferase 73B5 | UDP-glucosyl transferase 73C2 | UDP-glucosyl transferase 73B1 | UDP-glucosyl transferase 73B3 | UDP-glucosyl transferase 73C7 | UDP-glucosyltransferase 73B2 | UDP-glucosyl transferase 73D1 | don-glucosyltransferase 1 | UDP-glucosyl transferase 73C1 | UDP-glucosyl transferase 73C6","UDPGT (PF00201) [0.971] | F-box (PF00646) [0.005] | zf-CCHC (PF00098) [0.005]","transferase activity, transferring hexosyl groups (GO:0016758) [0.971] | nucleic acid binding (GO:0003676) [0.005] | protein binding (GO:0005515) [0.005] | zinc ion binding (GO:0008270) [0.005]","metabolic process (GO:0008152) [0.971]","2"
"Pn11.1453",776,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [1.000]","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","HLH (PF00010) [0.988]","protein dimerization activity (GO:0046983) [0.988]","NULL / Representative annotation below 0.1%","3"
"Pn11.1476",9254,"Exostosin family protein [1.000]","Exostosin family protein","Exostosin (PF03016) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn11.1479",1693,"Homeobox protein knotted-1-like 2 [0.362] | Homeobox protein knotted-1-like 6 [0.328] | Homeobox protein knotted-1-like 1 [0.224] | Homeobox protein knotted-1-like 12 [0.086]","KNOTTED-like from Arabidopsis thaliana | KNOX/ELK homeobox transcription factor","Homeobox_KN (PF05920) [0.966] | ELK (PF03789) [0.948] | KNOX2 (PF03791) [0.931] | KNOX1 (PF03790) [0.897] | RVT_2 (PF07727) [0.017]","DNA binding (GO:0003677) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [0.966]","2"
