"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn16.1198",706,"4-coumarate:CoA ligase 2 [0.360] | 4-coumarate--CoA ligase-like 5 [0.221] | 4-coumarate:CoA ligase 3 [0.140] | 4-coumarate--CoA ligase-like 7 [0.093] | 4-coumarate--CoA ligase-like 4 [0.070] | 4-coumarate--CoA ligase-like 1 [0.058] | 4-coumarate--CoA ligase-like 2 [0.023] | 4-coumarate--CoA ligase-like 3 [0.012] | 4-coumarate--CoA ligase-like 8 [0.012] | 4-coumarate:CoA ligase 5 [0.012]","AMP-dependent synthetase and ligase family protein | OPC-8:0 CoA ligase1","AMP-binding (PF00501) [1.000] | AMP-binding_C (PF13193) [0.942] | RVT_3 (PF13456) [0.012] | peroxidase (PF00141) [0.012] | Ist1 (PF03398) [0.012]","catalytic activity (GO:0003824) [1.000] | peroxidase activity (GO:0004601) [0.012] | heme binding (GO:0020037) [0.012]","metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [0.012] | response to oxidative stress (GO:0006979) [0.012]","3"
"Pn16.1236",706,"4-coumarate:CoA ligase 2 [0.360] | 4-coumarate--CoA ligase-like 5 [0.221] | 4-coumarate:CoA ligase 3 [0.140] | 4-coumarate--CoA ligase-like 7 [0.093] | 4-coumarate--CoA ligase-like 4 [0.070] | 4-coumarate--CoA ligase-like 1 [0.058] | 4-coumarate--CoA ligase-like 2 [0.023] | 4-coumarate--CoA ligase-like 3 [0.012] | 4-coumarate--CoA ligase-like 8 [0.012] | 4-coumarate:CoA ligase 5 [0.012]","AMP-dependent synthetase and ligase family protein | OPC-8:0 CoA ligase1","AMP-binding (PF00501) [1.000] | AMP-binding_C (PF13193) [0.942] | RVT_3 (PF13456) [0.012] | peroxidase (PF00141) [0.012] | Ist1 (PF03398) [0.012]","catalytic activity (GO:0003824) [1.000] | peroxidase activity (GO:0004601) [0.012] | heme binding (GO:0020037) [0.012]","metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [0.012] | response to oxidative stress (GO:0006979) [0.012]","3"
"Pn16.1237",706,"4-coumarate:CoA ligase 2 [0.360] | 4-coumarate--CoA ligase-like 5 [0.221] | 4-coumarate:CoA ligase 3 [0.140] | 4-coumarate--CoA ligase-like 7 [0.093] | 4-coumarate--CoA ligase-like 4 [0.070] | 4-coumarate--CoA ligase-like 1 [0.058] | 4-coumarate--CoA ligase-like 2 [0.023] | 4-coumarate--CoA ligase-like 3 [0.012] | 4-coumarate--CoA ligase-like 8 [0.012] | 4-coumarate:CoA ligase 5 [0.012]","AMP-dependent synthetase and ligase family protein | OPC-8:0 CoA ligase1","AMP-binding (PF00501) [1.000] | AMP-binding_C (PF13193) [0.942] | RVT_3 (PF13456) [0.012] | peroxidase (PF00141) [0.012] | Ist1 (PF03398) [0.012]","catalytic activity (GO:0003824) [1.000] | peroxidase activity (GO:0004601) [0.012] | heme binding (GO:0020037) [0.012]","metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [0.012] | response to oxidative stress (GO:0006979) [0.012]","3"
"Pn16.1351",253,"Disease resistance protein (CC-NBS-LRR class) family [0.790] | NB-ARC domain-containing disease resistance protein [0.043] | Disease resistance protein [0.029] | protein kinase 1B [0.022] | disease resistance protein (TIR-NBS-LRR class) [0.022] | Leucine-rich repeat (LRR) family protein [0.014] | plant intracellular ras group-related LRR 9 [0.007] | Leucine-rich repeat-containing protein 40 [0.007] | LRR and NB-ARC domains-containing disease resistance protein [0.007] | Leucine-rich repeat protein soc-2 homolog [0.007] | Disease resistance protein RGA2 [0.007] | Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 1 [0.007] | plant intracellular ras group-related LRR 2 [0.007] | receptor like protein 34 [0.007] | HOPM interactor 7 [0.007] | Leucine-rich repeat protein SHOC-2 [0.007]","Unkown protein(s) / No TAIR description(s)","NB-ARC (PF00931) [0.812] | LRR_1 (PF00560) [0.377] | LRR_8 (PF13855) [0.167] | LRR_4 (PF12799) [0.130] | LRR_7 (PF13504) [0.130] | Pkinase_Tyr (PF07714) [0.014] | Pkinase (PF00069) [0.014] | Trehalose_PPase (PF02358) [0.007] | Glyco_transf_20 (PF00982) [0.007]","ADP binding (GO:0043531) [0.812] | protein binding (GO:0005515) [0.377] | protein kinase activity (GO:0004672) [0.022] | ATP binding (GO:0005524) [0.014] | catalytic activity (GO:0003824) [0.007]","protein phosphorylation (GO:0006468) [0.022] | trehalose biosynthetic process (GO:0005992) [0.007]","3"
"Pn16.1933",95,"Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.797] | ATP-dependent Clp protease proteolytic subunit [0.091] | terpenoid synthase 13 [0.037] | ATP-dependent Clp protease proteolytic subunit 2 [0.017] | (E)-beta-farnesene synthase [0.008] | Terpenoid synthase 18 [0.008] | Terpenoid synthase 25 [0.008] | Terpenoid synthase 22 [0.004] | Terpenoid synthase 6 [0.004] | Terpenoid synthase 17 [0.004] | ATP-dependent Clp protease proteolytic subunit 1 [0.004] | Terpenoid synthase 20 [0.004] | Terpenoid synthase 30 [0.004] | Terpenoid synthase 19 [0.004] | Terpenoid synthase 29 [0.004]","Terpenoid cyclases/Protein prenyltransferases superfamily protein | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | terpene synthase 21","Terpene_synth_C (PF03936) [0.888] | Terpene_synth (PF01397) [0.838] | CLP_protease (PF00574) [0.116] | gag_pre-integrs (PF13976) [0.004] | UBN2 (PF14223) [0.004] | peroxidase (PF00141) [0.004]","magnesium ion binding (GO:0000287) [0.888] | lyase activity (GO:0016829) [0.888] | terpene synthase activity (GO:0010333) [0.888] | peroxidase activity (GO:0004601) [0.004] | heme binding (GO:0020037) [0.004]","metabolic process (GO:0008152) [0.838] | oxidation-reduction process (GO:0055114) [0.004] | response to oxidative stress (GO:0006979) [0.004]","3"
"Pn16.616",361,"Auxin transporter-like protein 2 [0.424] | Auxin transporter-like protein 3 [0.195] | Auxin transporter-like protein 5 [0.178] | Auxin transporter-like protein 1 [0.119] | Auxin transporter protein 1 [0.059] | Auxin transporter-like protein 4 [0.025]","like AUXIN RESISTANT 2 | like AUXIN RESISTANT 1 | like AUX1 3 | Transmembrane amino acid transporter family protein","Aa_trans (PF01490) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn16.847",8488,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn16.873",3292,"response regulator 1 [0.425] | response regulator 2 [0.300] | response regulator 14 [0.125] | response regulator 12 [0.075] | response regulator 18 [0.050] | Two-component response regulator EHD1 [0.025]","Homeodomain-like superfamily protein","Myb_DNA-binding (PF00249) [1.000]","chromatin binding (GO:0003682) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn16.933",824,"3-oxoacyl-[acyl-carrier-protein] synthase 2 [0.679] | DNA replication licensing factor MCM3 homolog [0.123] | DNA replication licensing factor MCM3 homolog 3 [0.074] | DNA replication licensing factor MCM3 homolog 2 [0.062] | DNA replication licensing factor MCM3 homolog 1 [0.062]","3-ketoacyl-acyl carrier protein synthase I | Minichromosome maintenance (MCM2/3/5) family protein","ketoacyl-synt (PF00109) [0.691] | Ketoacyl-synt_C (PF02801) [0.679] | MCM (PF00493) [0.321] | MCM_N (PF14551) [0.321]","ATP binding (GO:0005524) [0.321] | DNA binding (GO:0003677) [0.321]","DNA replication (GO:0006260) [0.321]","4"
"Pn16.934",824,"3-oxoacyl-[acyl-carrier-protein] synthase 2 [0.679] | DNA replication licensing factor MCM3 homolog [0.123] | DNA replication licensing factor MCM3 homolog 3 [0.074] | DNA replication licensing factor MCM3 homolog 2 [0.062] | DNA replication licensing factor MCM3 homolog 1 [0.062]","3-ketoacyl-acyl carrier protein synthase I | Minichromosome maintenance (MCM2/3/5) family protein","ketoacyl-synt (PF00109) [0.691] | Ketoacyl-synt_C (PF02801) [0.679] | MCM (PF00493) [0.321] | MCM_N (PF14551) [0.321]","ATP binding (GO:0005524) [0.321] | DNA binding (GO:0003677) [0.321]","DNA replication (GO:0006260) [0.321]","3"
"Pn17.1004",5949,"Abscisic acid receptor PYR1 [1.000]","Polyketide cyclase/dehydrase and lipid transport superfamily protein | PYR1-like 1","Polyketide_cyc2 (PF10604) [0.897] | Polyketide_cyc (PF03364) [0.103]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn17.1054",2212,"AP2/B3 transcription factor family protein [0.922] | AP2/B3-like transcriptional factor family protein [0.078]","AP2/B3-like transcriptional factor family protein","B3 (PF02362) [1.000] | MatK_N (PF01824) [0.020]","DNA binding (GO:0003677) [1.000]","NULL / Representative annotation below 0.1%","2"
"Pn17.1121",2288,"Granule-bound starch synthase 1, chloroplastic/amyloplastic [0.900] | Granule-bound starch synthase 1b, chloroplastic/amyloplastic [0.100]","UDP-Glycosyltransferase superfamily protein","Glyco_transf_5 (PF08323) [1.000] | Glycos_transf_1 (PF00534) [0.960]","NULL / Representative annotation below 0.1%","biosynthetic process (GO:0009058) [0.960]","3"
"Pn17.1152",545,"Protein YABBY 2 [0.510] | Protein YABBY 5 [0.224] | Protein YABBY 4 [0.194] | Protein YABBY 6 [0.061] | Protein YABBY 1 [0.010]","Plant-specific transcription factor YABBY family protein | plant-specific transcription factor YABBY family protein","YABBY (PF04690) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn17.1327",15930,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn17.144",50,"Disease resistance protein (CC-NBS-LRR class) family [0.900] | NB-ARC domain-containing disease resistance protein [0.062] | Disease resistance protein RPM1 [0.005] | TOPLESS-related 1 [0.005] | TOPLESS-related 2 [0.005] | Leucine-rich repeat-containing protein 7 [0.003] | TOPLESS-related 3 [0.003]","NB-ARC domain-containing disease resistance protein","NB-ARC (PF00931) [0.976] | LRR_4 (PF12799) [0.168] | LRR_8 (PF13855) [0.062] | LRR_1 (PF00560) [0.030] | Jacalin (PF01419) [0.016] | WD40 (PF00400) [0.008] | Chlorophyllase (PF07224) [0.003] | DUF4219 (PF13961) [0.003] | LRR_7 (PF13504) [0.003]","ADP binding (GO:0043531) [0.976] | protein binding (GO:0005515) [0.038] | chlorophyllase activity (GO:0047746) [0.003]","chlorophyll catabolic process (GO:0015996) [0.003]","4"
"Pn17.16",268,"Potassium channel AKT1 [0.381] | Potassium channel KAT1 [0.194] | Potassium channel AKT2/3 [0.157] | potassium channel in Arabidopsis thaliana 1 [0.075] | Potassium channel KAT2 [0.067] | Potassium channel AKT2 [0.060] | potassium channel in Arabidopsis thaliana 2 [0.022] | Potassium channel KAT3 [0.022] | Potassium channel AKT6 [0.015] | Potassium channel AKT3 [0.007]","K+ transporter 1 | potassium channel in Arabidopsis thaliana 2 | Shaker pollen inward K+ channel | potassium channel in Arabidopsis thaliana 1 | K+ transporter 5 | potassium transport 2/3","cNMP_binding (PF00027) [0.993] | Ion_trans (PF00520) [0.955] | DUF3354 (PF11834) [0.903] | Ank_2 (PF12796) [0.687] | Ank (PF00023) [0.060] | Ion_trans_2 (PF07885) [0.030] | Ank_4 (PF13637) [0.015] | Ank_5 (PF13857) [0.007] | Ank_3 (PF13606) [0.007]","ion channel activity (GO:0005216) [0.955] | protein binding (GO:0005515) [0.067]","ion transport (GO:0006811) [0.955] | transmembrane transport (GO:0055085) [0.955]","3"
"Pn17.207",4982,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn17.24",79,"3-ketoacyl-CoA synthase 11 [0.339] | 3-ketoacyl-CoA synthase 6 [0.179] | 3-ketoacyl-CoA synthase 4 [0.157] | 3-ketoacyl-CoA synthase 10 [0.099] | 3-ketoacyl-CoA synthase 1 [0.088] | 3-ketoacyl-CoA synthase 2 [0.069] | 3-ketoacyl-CoA synthase 15 [0.015] | 3-ketoacyl-CoA synthase 18 [0.011] | 3-ketoacyl-CoA synthase 16 [0.007] | 3-ketoacyl-CoA synthase 9 [0.007] | 3-ketoacyl-CoA synthase 5 [0.007] | 3-ketoacyl-CoA synthase 20 [0.007] | 3-ketoacyl-CoA synthase 17 [0.007] | 3-ketoacyl-CoA synthase 8 [0.007]","3-ketoacyl-CoA synthase 4 | 3-ketoacyl-CoA synthase 15 | 3-ketoacyl-CoA synthase 16 | 3-ketoacyl-CoA synthase 10 | 3-ketoacyl-CoA synthase 9 | 3-ketoacyl-CoA synthase 2 | 3-ketoacyl-CoA synthase 11 | 3-ketoacyl-CoA synthase 1 | 3-ketoacyl-CoA synthase 18 | 3-ketoacyl-CoA synthase 17 | 3-ketoacyl-CoA synthase 5 | 3-ketoacyl-CoA synthase 6 | 3-ketoacyl-CoA synthase 20 | 3-ketoacyl-CoA synthase 8","FAE1_CUT1_RppA (PF08392) [1.000] | ACP_syn_III_C (PF08541) [0.960] | Chal_sti_synt_C (PF02797) [0.015] | Ovate (PF04844) [0.004]","transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [1.000] | transferase activity, transferring acyl groups (GO:0016746) [0.015]","fatty acid biosynthetic process (GO:0006633) [1.000] | lipid biosynthetic process (GO:0008610) [0.960]","5"
"Pn17.308",1324,"Rhodanese/Cell cycle control phosphatase superfamily protein [0.708] | Receptor homology region, transmembrane domain- and RING domain-containing protein 1 [0.138] | RING/U-box superfamily protein [0.046] | sulfurtransferase 18 [0.031] | Receptor homology region, transmembrane domain- and RING domain-containing protein 2 [0.031] | sulfurtransferase protein 16 [0.015] | receptor homology region transmembrane domain ring H2 motif protein 1 [0.015] | flavonol synthase 3 [0.015]","Rhodanese/Cell cycle control phosphatase superfamily protein | sulfurtransferase 18 | receptor homology region transmembrane domain ring H2 motif protein 1","Rhodanese (PF00581) [0.785] | PA (PF02225) [0.200] | zf-RING_2 (PF13639) [0.154] | DIOX_N (PF14226) [0.015]","protein binding (GO:0005515) [0.154] | zinc ion binding (GO:0008270) [0.154]","NULL / Representative annotation below 0.1%","3"
"Pn17.461",1244,"HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain [0.343] | High mobility group B protein 15 [0.239] | AT-rich interactive domain-containing protein 2 [0.209] | High mobility group B protein 9 [0.119] | High mobility group B protein 10 [0.090]","HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain","HMG_box (PF00505) [1.000] | ARID (PF01388) [0.910]","DNA binding (GO:0003677) [0.910]","NULL / Representative annotation below 0.1%","1"
"Pn17.517",985,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [1.000]","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","2OG-FeII_Oxy (PF03171) [1.000] | DIOX_N (PF14226) [0.987]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn17.571",1897,"Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018]","alpha/beta-Hydrolases superfamily protein","FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018]","calcium ion binding (GO:0005509) [0.018]","NULL / Representative annotation below 0.1%","3"
"Pn17.758",32,"Subtilase family protein [0.573] | Subtilisin-like serine endopeptidase family protein [0.232] | subtilase family protein [0.159] | subtilase 4.12 [0.024] | subtilase 4.13 [0.004] | subtilase 3.12 [0.004] | ubiquitin-conjugating enzyme 32 [0.004]","Subtilase family protein | Subtilisin-like serine endopeptidase family protein | subtilase family protein | subtilase 4.13 | subtilase 3.12 | subtilase 4.12 | xylem serine peptidase 1","Peptidase_S8 (PF00082) [0.994] | Inhibitor_I9 (PF05922) [0.888] | PA (PF02225) [0.601] | UQ_con (PF00179) [0.004] | Ribosomal_L11 (PF00298) [0.002] | Ank_2 (PF12796) [0.002] | Ank (PF00023) [0.002] | Phi_1 (PF04674) [0.002] | Ribosomal_L11_N (PF03946) [0.002] | mTERF (PF02536) [0.002] | RVT_2 (PF07727) [0.002] | HI0933_like (PF03486) [0.002] | Sin_N (PF04801) [0.002] | BTB (PF00651) [0.002] | Nucleoside_tran (PF01733) [0.002]","serine-type endopeptidase activity (GO:0004252) [0.994] | identical protein binding (GO:0042802) [0.888] | protein binding (GO:0005515) [0.004] | acid-amino acid ligase activity (GO:0016881) [0.004] | DNA-directed RNA polymerase activity (GO:0003899) [0.002] | structural constituent of ribosome (GO:0003735) [0.002] | nucleoside transmembrane transporter activity (GO:0005337) [0.002]","proteolysis (GO:0006508) [0.994] | negative regulation of catalytic activity (GO:0043086) [0.888] | translation (GO:0006412) [0.002] | transport (GO:0006810) [0.002] | transcription, DNA-templated (GO:0006351) [0.002]","4"
"Pn17.815",2456,"Mechanosensitive ion channel family protein [0.833] | Mechanosensitive ion channel protein 10 [0.104] | Mechanosensitive ion channel protein 9 [0.062]","mechanosensitive channel of small conductance-like 10 | mechanosensitive channel of small conductance-like 9","MS_channel (PF00924) [0.979]","NULL / Representative annotation below 0.1%","transmembrane transport (GO:0055085) [0.979]","1"
"Pn17.860",4898,"tRNA (cytosine(34)-C(5))-methyltransferase [1.000]","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","Nol1_Nop2_Fmu (PF01189) [0.969]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
